Question_ID,Question,Expected Answer,Chatbot_Answer,Cosine_Similarity,Match,Response_Time_s,Run
1,O Fidelidade Savings é mais indicado para que perfil de risco?,"o Fidelidade Savings é adequado para clientes conservadores, através da sua opção Seguro, com capital e rendimento garantido. Para clientes que gostam moderadamente do risco, através da opção Proteção com garantia de 90% do capital investido no vencimento e exposição ao Índice Multiativos. Para clientes propensos ao risco através da opção Dinâmico com 100% de exposição ao Índice Multiativos. Também está disponível a opção ESG, que investe no índice Multiativos ESG, com risco mas ESG, para clientes com preocupações Ambientais, Sociais e de Governança.","O produto **Fidelidade My Savings** é mais indicado para investidores com um perfil de risco **conservador**. Este perfil é caracterizado por uma aversão a perdas e uma preferência por segurança e estabilidade nos investimentos. O My Savings oferece uma rentabilidade garantida e é uma opção adequada para quem procura preservar o capital investido, evitando riscos elevados. 

Se tiveres mais perguntas sobre este produto ou outros da Fidelidade, estou à disposição!",0.7,No,3.21,1
2,"Fiz uma poupança Kid's para os meus 3 filhos, como garanto que cada um tem direito ao que lá tem?","Deverá alterar a cláusula beneficiária, solicitando a um agente Fidelidade que faça a alteração da cláusula beneficiária de acordo com o procedimento em vigor. Fiscalidade","Olá! Agradeço a tua pergunta. 

No caso de uma poupança Kid's, é importante que cada filho tenha uma conta individual, uma vez que os montantes depositados são atribuídos a cada um deles. Para garantir que cada criança tem direito ao que está na sua conta, deves:

1. **Abrir contas separadas**: Cada filho deve ter a sua própria conta de poupança Kid's.
2. **Nomeação dos beneficiários**: Certifica-te de que os beneficiários estão corretamente designados nas contas, de modo a que cada criança tenha acesso aos fundos que lhe pertencem.
3. **Documentação**: Mantém toda a documentação relacionada com as contas organizada e acessível, para que possas comprovar a titularidade de cada conta.

Se tiveres mais dúvidas ou precisares de informações adicionais, estou à disposição para ajudar!",0.25,No,3.19,1
3,O Fidelidade Savings permite dedução no IRS?,"não. No entanto ao fim de 5 anos a taxa de imposto sobre os rendimentos obtidos no produto baixa de 28% para 22,4% e ao fim de 8 anos baixa para 11,2%.","O **Fidelidade My Savings** não permite dedução no IRS. Este produto é uma solução de poupança que oferece uma rentabilidade garantida, mas não está associado a benefícios fiscais como a dedução no IRS. Se tiveres mais perguntas sobre este produto ou outros da Fidelidade, estou à disposição para ajudar!",0.35,No,3.27,1
4,"Tenho de pagar algum imposto sobre os lucros, ou o rendimento já é líquido?",Os impostos sobre o rendimento obtido são retidos na fonte pela Companhia.,"No caso do **PPR Evoluir**, os rendimentos são sujeitos a imposto sobre os ganhos, ou seja, os lucros obtidos. No entanto, o imposto é aplicado apenas no momento do resgate, e a taxa de imposto pode variar consoante o prazo de investimento e a forma de resgate.

Para o **My Savings**, os rendimentos também podem estar sujeitos a impostos, dependendo da forma como são retirados ou utilizados.

Em ambos os casos, é importante consultar a legislação fiscal em vigor ou um consultor fiscal para obter informações detalhadas sobre a tributação específica aplicável à sua situação.",0.45,No,3.14,1
5,Porque razão o resgate pedido é inferior ao valor recebido?,"Devido à Regra FIFO, onde são resgatadas as unidades de participação mais antigas e sobre as quais, havendo lucro, incide a tributação. Comissões e Custos","O valor recebido no resgate pode ser inferior ao valor solicitado por várias razões, que podem incluir:

1. **Impostos e Taxas**: Podem ser aplicados impostos sobre os rendimentos ou taxas de resgate que diminuem o montante final recebido.

2. **Penalizações por Resgates Antecipados**: Se o resgate for feito antes do prazo estipulado, pode haver penalizações que afetam o valor.

3. **Variação do Valor das Quotas**: O valor das quotas pode ter variado desde a data do investimento até ao momento do resgate, impactando o montante final.

4. **Condições Específicas do Produto**: Cada produto financeiro pode ter condições específicas que influenciam o valor do resgate.

Se precisares de mais informações sobre um caso específico ou sobre os produtos da Fidelidade, não hesites em perguntar!",0.45,No,4.33,1
6,Qual é a comissão de gestão anual do Fidelidade Savings?,"nas opções com risco a comissão de Gestão é no máximo 1,2%. Na opção com capital e rendimento garantido, a opção Seguro, não há cobrança de nenhuma comissão de Gestão. Também não há comissão de subscrição ou resgate em nenhuma das opções de investimento ou poupança. Rentabilidade e Performance","A comissão de gestão anual do produto **Fidelidade My Savings** é de **1%** sobre o capital investido. Se precisares de mais informações ou detalhes sobre este produto, estou à disposição!",0.57,No,2.03,1
7,Quais os riscos associados ao Fidelidade Savings para o cliente?,"Depende da opção escolhida. A opção Seguro tem capital e rendimento garantido. As restantes opções têm risco de rendimento e capital, mas a opção proteção garante 90% do capital investido na data de vencimento do investimento ou do objectivo. Concorrência","Os riscos associados ao produto **Fidelidade My Savings** incluem:

1. **Risco de Mercado**: O valor do investimento pode flutuar em função das condições de mercado, o que pode impactar o retorno esperado.

2. **Risco de Liquidez**: Pode haver dificuldades em resgatar o investimento em determinados momentos, dependendo das condições do mercado.

3. **Risco de Taxas**: A aplicação de taxas de gestão ou outras comissões pode reduzir o retorno do investimento.

4. **Risco de Rentabilidade**: A rentabilidade não é garantida e pode ser inferior ao esperado, especialmente em cenários de baixa performance do mercado.

5. **Risco de Inflação**: A rentabilidade do investimento pode não acompanhar a inflação, resultando em perda de poder de compra ao longo do tempo.

É importante que os clientes considerem esses riscos ao decidir investir no **Fidelidade My Savings** e que avaliem a sua situação financeira e objetivos de investimento. Se precisar de mais informações ou esclarecimentos, estou à disposição!",0.62,No,4.3,1
8,O Fidelidade Savings (opção segura) é competitivo face aos certificados do Tesouro Português?,"Sim, começa por ser mais flexível na movimentação, não tem restrições nem custos. A taxa de rendimento garantida é de 80% da Euribor a 6 meses, tendo sido normalmente superior. Há momentos em que estamos melhor que os Certificados e momentos em que estamos pior, depende da evolução das taxas. Nos momentos em que as taxas estão a descer a opção seguro tem uma resiliência maior porque só é revista de seis em seis meses. Funcionamento","O **Fidelidade My Savings** (opção segura) apresenta algumas características que o tornam competitivo em relação aos certificados do Tesouro Português. Aqui estão alguns pontos de comparação:

### Fidelidade My Savings (opção segura)
- **Rentabilidade**: A rentabilidade é garantida e pode ser superior à de alguns certificados do Tesouro, dependendo das condições de mercado.
- **Segurança**: É um produto de baixo risco, com capital garantido.
- **Flexibilidade**: Permite resgates em momentos específicos, conforme as condições do contrato.

### Certificados do Tesouro Português
- **Rentabilidade**: A rentabilidade pode variar, dependendo do tipo de certificado e das condições de mercado.
- **Risco**: Embora sejam considerados seguros, estão sujeitos a variações de mercado e a política económica do país.
- **Liquidez**: A liquidez pode ser menor, dependendo do tipo de certificado.

### Conclusão
O **Fidelidade My Savings** pode ser uma opção mais segura e com rentabilidade garantida, enquanto os certificados do Tesouro oferecem uma rentabilidade que pode ser variável. A escolha entre os dois produtos deve considerar o perfil de risco do investidor e os objetivos financeiros a longo prazo. 

Se precisares de mais informações ou detalhes específicos, estou à disposição!",0.56,No,4.33,1
9,Posso subscrever e resgatar em qualquer momento?,Sim posso. Ao fim de três dias uteis o valor resgatado está na conta bancaria associada. Não há encargos de resgate. 2) PPR EVOLUIR Informações Gerais sobre os Produtos,"Olá! 

Em relação aos produtos da Fidelidade, a subscrição e resgate funcionam da seguinte forma:

### Fidelidade My Savings
- **Subscrição**: Podes subscrever o produto a qualquer momento, de acordo com as condições definidas no contrato.
- **Resgate**: O resgate também pode ser feito a qualquer momento, mas é importante ter em conta que podem existir penalizações ou condições específicas associadas ao resgate antecipado.

### PPR Evoluir
- **Subscrição**: A subscrição é igualmente flexível e pode ser realizada em qualquer momento.
- **Resgate**: O resgate é permitido, mas existem regras específicas, especialmente se o resgate for feito antes do prazo de maturidade, podendo implicar penalizações fiscais.

Se tiveres mais perguntas ou precisares de mais informações, estou à disposição!",0.53,No,4.48,1
10,Que tipo de investimento é o PPR Evoluir — Capital e rendimento garantido ou tem risco?,"Ambos. O PPR Evoluir da Fidelidade é um produto de investimento que combina segurança e potencial de rentabilidade, adaptando-se à idade do cliente através de duas componentes distintas: Componente Proteção: Oferece capital e rendimento garantidos, proporcionando segurança ao investimento.; Componente Ativo: Não possui garantias de capital nem de rendimento, apresentando um nível de risco baixo, mas com maior potencial de rentabilidade. A alocação entre estas componentes ajusta-se automaticamente com base na idade do cliente, aumentando a proporção da Componente Proteção à medida que se aproxima da reforma, até um máximo de 60%.","O PPR Evoluir da Fidelidade é um produto de **Poupança e Reforma** que não garante o capital investido, ou seja, tem um **risco associado**. O rendimento não é garantido, pois depende da evolução dos mercados financeiros e da gestão do fundo. 

É importante considerar que, ao investir em PPRs, existe a possibilidade de perda do capital, embora o PPR Evoluir tenha como objetivo proporcionar uma rentabilidade a longo prazo. 

Se tiveres mais perguntas ou precisares de mais informações sobre este produto, estou à disposição!",0.71,Yes,7.78,1
