Question_ID,Question,Expected_Answer,Chatbot_Answer,Similarity,Match,Response_Time_s,Run
1,O Fidelidade Savings é mais indicado para que perfil de risco?,"o Fidelidade Savings é adequado para clientes conservadores, através da sua opção Seguro, com capital e rendimento garantido. Para clientes que gostam moderadamente do risco, através da opção Proteção com garantia de 90% do capital investido no vencimento e exposição ao Índice Multiativos. Para clientes propensos ao risco através da opção Dinâmico com 100% de exposição ao Índice Multiativos. Também está disponível a opção ESG, que investe no índice Multiativos ESG, com risco mas ESG, para clientes com preocupações Ambientais, Sociais e de Governança.","O **Fidelidade My Savings** é mais indicado para investidores com um perfil de risco **baixo a moderado**. Este produto é ideal para aqueles que procuram uma forma de poupança segura, com a possibilidade de obter rendimentos, mas que não estão dispostos a assumir riscos elevados. 

Se tiveres mais perguntas sobre este produto ou outros da Fidelidade, estou à disposição!",45,No,3.44,1
2,"Fiz uma poupança Kid's para os meus 3 filhos, como garanto que cada um tem direito ao que lá tem?","Deverá alterar a cláusula beneficiária, solicitando a um agente Fidelidade que faça a alteração da cláusula beneficiária de acordo com o procedimento em vigor. Fiscalidade","Olá! Para garantir que cada um dos teus filhos tem direito ao que foi poupado na poupança Kid's, é importante que a conta esteja devidamente organizada e que cada filho tenha a sua parte claramente identificada. 

Aqui estão algumas sugestões:

1. **Contas Separadas**: Se possível, considera abrir contas separadas para cada filho, de forma a que os montantes poupados sejam facilmente atribuídos a cada um.

2. **Documentação**: Mantém toda a documentação relacionada com as poupanças, como recibos e extratos, que indiquem claramente quanto foi poupado para cada filho.

3. **Acordos**: Se a poupança for conjunta, é aconselhável ter um acordo por escrito entre os responsáveis legais que especifique como os fundos serão distribuídos entre os filhos.

4. **Consulta com um Especialista**: Considera consultar um especialista em finanças ou um advogado para garantir que a estrutura da poupança está em conformidade com as leis e regulamentos aplicáveis.

Se tiveres mais perguntas ou precisares de mais informações, estou aqui para ajudar!",22,No,3.41,1
3,O Fidelidade Savings permite dedução no IRS?,"não. No entanto ao fim de 5 anos a taxa de imposto sobre os rendimentos obtidos no produto baixa de 28% para 22,4% e ao fim de 8 anos baixa para 11,2%.","O produto **Fidelidade My Savings** não permite dedução no IRS. Este produto é uma conta de poupança que oferece uma taxa de juro atrativa, mas não está associado a benefícios fiscais como a dedução no IRS. 

Se tiveres mais perguntas sobre este produto ou outros da Fidelidade, estou à disposição para ajudar!",38,No,3.33,1
4,"Tenho de pagar algum imposto sobre os lucros, ou o rendimento já é líquido?",Os impostos sobre o rendimento obtido são retidos na fonte pela Companhia.,"No caso do **Fidelidade My Savings** e do **PPR Evoluir**, os rendimentos obtidos estão sujeitos a impostos. 

### Impostos sobre os rendimentos:
- **Fidelidade My Savings**: Os rendimentos são tributados em sede de IRS, à taxa de 28% sobre os juros obtidos.
- **PPR Evoluir**: Os rendimentos também são tributados em sede de IRS, mas a taxa é de 8% se o capital for resgatado após 5 anos. Se o resgate ocorrer antes desse prazo, a taxa é de 28%.

Portanto, os rendimentos não são líquidos, e é importante considerar a tributação ao calcular o retorno efetivo do investimento. Se tiver mais perguntas sobre estes produtos, estou à disposição!",20,No,3.4,1
5,Porque razão o resgate pedido é inferior ao valor recebido?,"Devido à Regra FIFO, onde são resgatadas as unidades de participação mais antigas e sobre as quais, havendo lucro, incide a tributação. Comissões e Custos","O valor recebido no resgate pode ser inferior ao valor solicitado por várias razões, que podem incluir:

1. **Impostos e Taxas**: O montante a receber pode ser afetado por impostos ou taxas aplicáveis ao resgate do produto.

2. **Penalizações**: Se o resgate for feito antes de um determinado prazo ou condições contratuais, pode haver penalizações que reduzem o valor final.

3. **Desvalorização**: O valor dos ativos subjacentes pode ter sofrido desvalorização, impactando o montante a ser recebido.

4. **Condições do Produto**: Cada produto financeiro tem as suas próprias condições de resgate, que podem influenciar o valor final.

Se precisar de informações mais específicas sobre um produto em particular, como o My Savings ou o PPR Evoluir, estou à disposição para ajudar!",26,No,3.32,1
6,Qual é a comissão de gestão anual do Fidelidade Savings?,"nas opções com risco a comissão de Gestão é no máximo 1,2%. Na opção com capital e rendimento garantido, a opção Seguro, não há cobrança de nenhuma comissão de Gestão. Também não há comissão de subscrição ou resgate em nenhuma das opções de investimento ou poupança. Rentabilidade e Performance","A comissão de gestão anual do produto **Fidelidade My Savings** é de **1%** sobre o montante aplicado. Se tiveres mais perguntas sobre este produto ou outros da Fidelidade, estou à disposição para ajudar!",41,No,3.42,1
7,Quais os riscos associados ao Fidelidade Savings para o cliente?,"Depende da opção escolhida. A opção Seguro tem capital e rendimento garantido. As restantes opções têm risco de rendimento e capital, mas a opção proteção garante 90% do capital investido na data de vencimento do investimento ou do objectivo. Concorrência","Os riscos associados ao produto **Fidelidade My Savings** incluem:

1. **Risco de Mercado**: O valor do investimento pode variar em função das condições de mercado, o que pode afetar o retorno esperado.

2. **Risco de Liquidez**: Pode haver dificuldades em resgatar o investimento em determinados momentos, dependendo das condições do mercado.

3. **Risco de Taxas**: A aplicação de taxas de gestão ou outras comissões pode impactar o rendimento final do investimento.

4. **Risco de Capital**: Embora o produto tenha uma componente de segurança, existe a possibilidade de não se obter o capital investido na totalidade, dependendo das condições de mercado.

5. **Risco de Taxa de Juro**: As flutuações nas taxas de juro podem afetar o rendimento do investimento.

É importante que os clientes estejam cientes destes riscos e considerem a sua situação financeira e objetivos de investimento antes de optar por este produto. Se tiveres mais perguntas ou precisares de mais informações, estou à disposição!",33,No,4.51,1
8,O Fidelidade Savings (opção segura) é competitivo face aos certificados do Tesouro Português?,"Sim, começa por ser mais flexível na movimentação, não tem restrições nem custos. A taxa de rendimento garantida é de 80% da Euribor a 6 meses, tendo sido normalmente superior. Há momentos em que estamos melhor que os Certificados e momentos em que estamos pior, depende da evolução das taxas. Nos momentos em que as taxas estão a descer a opção seguro tem uma resiliência maior porque só é revista de seis em seis meses. Funcionamento","Para fazer uma comparação entre o **Fidelidade My Savings** (opção segura) e os **certificados do Tesouro Português**, é importante considerar alguns fatores como a rentabilidade, a segurança e a liquidez.

### Fidelidade My Savings (opção segura)
- **Rentabilidade**: A rentabilidade é garantida e pode ser superior à média do mercado, dependendo das condições do produto.
- **Segurança**: É um produto seguro, com a garantia da Fidelidade.
- **Liquidez**: Permite o resgate a qualquer momento, com a possibilidade de penalizações dependendo do prazo de investimento.

### Certificados do Tesouro Português
- **Rentabilidade**: A rentabilidade pode variar conforme as taxas de juro do mercado e o tipo de certificado (ex: Tesouro Poupança, Tesouro Directo).
- **Segurança**: Considerados seguros, pois são garantidos pelo Estado Português.
- **Liquidez**: A liquidez pode ser menor, dependendo do tipo de certificado e das condições de resgate.

### Comparação
- **Rentabilidade**: O Fidelidade My Savings pode oferecer uma rentabilidade mais estável e previsível em comparação com os certificados do Tesouro, que podem ter rentabilidades variáveis.
- **Segurança**: Ambos são considerados seguros, mas o nível de garantia pode ser um fator a considerar.
- **Liquidez**: O Fidelidade My Savings oferece maior flexibilidade em termos de resgates.

Em resumo, o **Fidelidade My Savings** pode ser uma opção competitiva face aos certificados do Tesouro Português, especialmente para investidores que valorizam a segurança e a liquidez. É sempre recomendável analisar as condições específicas de cada produto e as necessidades individuais de investimento.",31,No,4.7,1
9,Posso subscrever e resgatar em qualquer momento?,Sim posso. Ao fim de três dias uteis o valor resgatado está na conta bancaria associada. Não há encargos de resgate. 2) PPR EVOLUIR Informações Gerais sobre os Produtos,"Olá! 

No que diz respeito ao **Fidelidade My Savings**, podes efetuar subscrições e resgates a qualquer momento, uma vez que este produto oferece flexibilidade total. 

Por outro lado, no caso do **PPR Evoluir**, a subscrição também é livre, mas os resgates estão sujeitos a algumas condições, especialmente se pretenderes beneficiar das vantagens fiscais associadas a este produto. É importante ter em conta que, para obter essas vantagens, o resgate deve ser feito após um período mínimo de 5 anos ou em situações específicas previstas na legislação.

Se precisares de mais informações ou esclarecimentos, estou à disposição!",32,No,3.36,1
10,Que tipo de investimento é o PPR Evoluir — Capital e rendimento garantido ou tem risco?,"Ambos. O PPR Evoluir da Fidelidade é um produto de investimento que combina segurança e potencial de rentabilidade, adaptando-se à idade do cliente através de duas componentes distintas: Componente Proteção: Oferece capital e rendimento garantidos, proporcionando segurança ao investimento.; Componente Ativo: Não possui garantias de capital nem de rendimento, apresentando um nível de risco baixo, mas com maior potencial de rentabilidade. A alocação entre estas componentes ajusta-se automaticamente com base na idade do cliente, aumentando a proporção da Componente Proteção à medida que se aproxima da reforma, até um máximo de 60%.","O PPR Evoluir é um produto de Poupança Reforma que oferece **rendimento variável**, o que significa que não garante um capital e rendimento fixos. O seu desempenho está sujeito a flutuações de mercado, e, portanto, existe um risco associado ao investimento. 

É importante considerar que, apesar de haver risco, o PPR Evoluir pode proporcionar uma rentabilidade potencialmente superior a produtos com capital garantido, dependendo das condições de mercado.

Se tiveres mais perguntas sobre o PPR Evoluir ou outros produtos da Fidelidade, estou à disposição!",47,No,3.32,1
